Sr.No,Test Scenario Name,Step Num,Test Step,Expected Results
1,Successful Login,1,Enter valid username,Username is accepted
,,,,
1,,2,Enter valid password,Password is accepted
1,,3,Click on LOGIN button,User is redirected to dashboard
,,,,

2,Login with Invalid Credentials,1,Enter invalid username,Error message is displayed
,,,,
2,,2,Enter valid password,No login occurs
2,,3,Click on LOGIN button,Login fails with proper error message
,,,,

3,Login Button State: Disabled if Fields Empty,1,Leave username blank,Login button remains disabled
,,,,
3,,2,Leave password blank,Login button remains disabled
3,,3,Try to click on LOGIN,Button cannot be clicked
,,,,

4,Edge Case: Minimum/Maximum Field Lengths,1,Enter shortest allowed username/password,Login succeeds if details valid
,,,,
4,,2,Enter longest allowed username/password,Login succeeds if details valid
4,,3,Enter too short/long username or password,Error message is displayed
,,,,

5,Error Response (Backend unavailable),1,Enter valid username/password,Fields entered
,,,,
5,,2,Click LOGIN (simulate backend down),System displays error: unable to connect/login
,,,,

6,Session Timeout Post Login,1,Login successfully,Dashboard displayed
,,,,
6,,2,Wait past session timeout period,User is logged out automatically
6,,3,Try to interact after timeout,Prompt: Please log in again
,,,,
